empty_count,longitude,latitude
50,50.450386085935094,30.524547100067142
12,50.45050063818424,30.52432932092009
45,50.45061519043338,30.524111541773035
3,50.450729742682526,30.52389376262598
19,50.45084429493167,30.523675983478928
28,50.450958847180814,30.523458204331874
7,50.45107339942996,30.52324042518482
47,50.450386085935094,30.524547100067142
14,50.45050063818424,30.52432932092009
21,50.45061519043338,30.524111541773035
38,50.450729742682526,30.52389376262598
5,50.45084429493167,30.523675983478928
30,50.450958847180814,30.523458204331874
16,50.45107339942996,30.52324042518482
31,50.4511879516791,30.523022646037766
44,50.45130250392825,30.522804866890713
22,50.45141705617739,30.52258708774366
18,50.45158184958234,30.52247389776916
8,50.451757508676074,30.522413170763514
20,50.45193316776981,30.522352443757867
25,50.452108826863544,30.52229171675222
43,50.45228448595728,30.522230989746575
2,50.45246014505101,30.52217026274093
1,50.450386085935094,30.524547100067142
9,50.45050063818424,30.52432932092009
24,50.45061519043338,30.524111541773035
4,50.450729742682526,30.52389376262598
10,50.45084429493167,30.523675983478928
29,50.450958847180814,30.523458204331874
6,50.45107339942996,30.52324042518482
50,50.450386085935094,30.524547100067142
33,50.45050063818424,30.52432932092009
15,50.45061519043338,30.524111541773035
26,50.450729742682526,30.52389376262598
11,50.45084429493167,30.523675983478928
27,50.450958847180814,30.523458204331874
35,50.45107339942996,30.52324042518482
48,50.4511879516791,30.523022646037766
13,50.45130250392825,30.522804866890713
36,50.45141705617739,30.52258708774366
17,50.45158184958234,30.52247389776916
23,50.451757508676074,30.522413170763514
49,50.45193316776981,30.522352443757867
32,50.452108826863544,30.52229171675222
42,50.45228448595728,30.522230989746575
37,50.45246014505101,30.52217026274093
